Region ↕,Car Production ↕
Argentina,536.9K
Austria,107.5K
Belgium,276.6K
Brazil,2.4M
Canada,1.2M
China,27M
Czech Republic,1.2M
Finland,73K
France,1.4M
Germany,3.7M
Hungary,441.7K
India,5.5M
Indonesia,1.5M
Italy,796.4K
Japan,7.8M
Kazakhstan,112.5K
Malaysia,702.3K
Mexico,3.5M
Morocco,464.9K
Poland,483.8K
Portugal,322.4K
Romania,509.5K
Russia,608.5K
Serbia,4.5K
Slovakia,1M
Slovenia,68.1K
South Africa,555.9K
South Korea,3.8M
Spain,2.2M
Taiwan,261.3K
Thailand,1.9M
Turkey,1.4M
Ukraine,1.5K
United Kingdom,876.6K
United States,10.1M
Uzbekistan,333.6K
